Wavenumber (cm-1),% Transmittance
3403.5764,0.66586
3403.09424,0.66631
3402.61208,0.66691
3402.12991,0.66749
3401.64775,0.66788
3401.16559,0.66807
3400.68343,0.66814
3400.20127,0.66802
3399.71911,0.66757
3399.23695,0.66687
3398.75479,0.66608
3398.27262,0.6651
3397.79046,0.66406
3397.3083,0.66368
3396.82614,0.66415
3396.34398,0.6648
3395.86182,0.66523
3395.37966,0.66537
3394.8975,0.66525
3394.41533,0.66497
3393.93317,0.6644
3393.45101,0.66366
3392.96885,0.66371
3392.48669,0.66484
3392.00453,0.666
3391.52237,0.66645
3391.0402,0.66627
3390.55804,0.66574
3390.07588,0.66519
