Created as New Dataset,Sample 104 By Administrator Date Monday, November 04 2019
cm-1,A
1422.00,0.5706
1420.00,0.5286
1418.00,0.4895
1416.00,0.4554
1414.00,0.4256
1412.00,0.3996
1410.00,0.3775
1408.00,0.3588
1406.00,0.3428
1404.00,0.3292
1402.00,0.3180
1400.00,0.3085
1398.00,0.3001
1396.00,0.2915
1394.00,0.2830
1392.00,0.2747
1390.00,0.2672
1388.00,0.2612
1386.00,0.2563
1384.00,0.2520
1382.00,0.2489
1380.00,0.2468
1378.00,0.2453
1376.00,0.2439
1374.00,0.2434
1372.00,0.2441
1370.00,0.2457
1368.00,0.2485
1366.00,0.2525
1364.00,0.2577
1362.00,0.2649
1360.00,0.2742
1358.00,0.2867
1356.00,0.3048
1354.00,0.3302
1352.00,0.3519
1350.00,0.3539
1348.00,0.3430
1346.00,0.3335
1344.00,0.3245
1342.00,0.3134
1340.00,0.3014
1338.00,0.2902
1336.00,0.2804
1334.00,0.2724
1332.00,0.2661
1330.00,0.2616
1328.00,0.2583
1326.00,0.2560
1324.00,0.2534
1322.00,0.2491
1320.00,0.2435
1318.00,0.2386
1316.00,0.2352
1314.00,0.2332
1312.00,0.2322
1310.00,0.2319
1308.00,0.2317
1306.00,0.2322
1304.00,0.2337
1302.00,0.2356
1300.00,0.2372
1298.00,0.2386
1296.00,0.2402
1294.00,0.2428
1292.00,0.2469
1290.00,0.2528
1288.00,0.2604
1286.00,0.2688
1284.00,0.2773
1282.00,0.2871
1280.00,0.2999
1278.00,0.3168
1276.00,0.3385
1274.00,0.3665
1272.00,0.4024
1270.00,0.4479
1268.00,0.5033
1266.00,0.5695
1264.00,0.6559
1262.00,0.7876
1260.00,0.9899
1258.00,1.2050
1256.00,1.1808
1254.00,0.9343
1252.00,0.7053
