Created as New Dataset,Sample 113 By Administrator Date Wednesday, July 29 2020
cm-1,A
2358.00,0.0633
2356.00,0.0637
2354.00,0.0644
2352.00,0.0657
2350.00,0.0673
2348.00,0.0682
2346.00,0.0687
2344.00,0.0701
2342.00,0.0787
2340.00,0.0821
2338.00,0.0845
2336.00,0.0848
2334.00,0.0827
2332.00,0.0782
2330.00,0.0741
2328.00,0.0716
2326.00,0.0697
2324.00,0.0681
2322.00,0.0676
2320.00,0.0683
2318.00,0.0698
2316.00,0.0716
2314.00,0.0729
2312.00,0.0736
2310.00,0.0731
2308.00,0.0712
2306.00,0.0687
2304.00,0.0665
2302.00,0.0649
2300.00,0.0641
2298.00,0.0639
2296.00,0.0640
2294.00,0.0642
2292.00,0.0641
2290.00,0.0638
2288.00,0.0633
2286.00,0.0628
2284.00,0.0623
2282.00,0.0619
2280.00,0.0616
2278.00,0.0615
2276.00,0.0616
2274.00,0.0618
2272.00,0.0621
2270.00,0.0625
2268.00,0.0630
2266.00,0.0635
2264.00,0.0640
2262.00,0.0645
2260.00,0.0650
2258.00,0.0654
2256.00,0.0656
2254.00,0.0657
2252.00,0.0656
2250.00,0.0653
2248.00,0.0648
2246.00,0.0642
2244.00,0.0637
2242.00,0.0632
2240.00,0.0627
2238.00,0.0624
2236.00,0.0621
2234.00,0.0618
2232.00,0.0616
2230.00,0.0613
2228.00,0.0611
2226.00,0.0607
2224.00,0.0604
2222.00,0.0601
2220.00,0.0598
2218.00,0.0596
2216.00,0.0595
2214.00,0.0594
2212.00,0.0593
2210.00,0.0591
2208.00,0.0588
2206.00,0.0584
2204.00,0.0579
2202.00,0.0576
2200.00,0.0573
2198.00,0.0572
2196.00,0.0573
2194.00,0.0574
2192.00,0.0577
2190.00,0.0580
2188.00,0.0584
2186.00,0.0586
2184.00,0.0587
2182.00,0.0586
2180.00,0.0583
2178.00,0.0579
2176.00,0.0576
2174.00,0.0574
2172.00,0.0573
2170.00,0.0573
2168.00,0.0573
2166.00,0.0574
2164.00,0.0575
2162.00,0.0576
2160.00,0.0577
2158.00,0.0578
2156.00,0.0579
2154.00,0.0580
2152.00,0.0580
2150.00,0.0580
2148.00,0.0580
2146.00,0.0580
2144.00,0.0578
2142.00,0.0577
2140.00,0.0575
2138.00,0.0573
2136.00,0.0570
2134.00,0.0567
2132.00,0.0564
2130.00,0.0562
2128.00,0.0559
2126.00,0.0557
2124.00,0.0555
2122.00,0.0553
2120.00,0.0551
2118.00,0.0549
2116.00,0.0547
2114.00,0.0544
2112.00,0.0542
2110.00,0.0539
2108.00,0.0536
2106.00,0.0534
2104.00,0.0531
2102.00,0.0529
2100.00,0.0528
2098.00,0.0526
2096.00,0.0525
2094.00,0.0525
2092.00,0.0525
2090.00,0.0525
2088.00,0.0525
2086.00,0.0526
2084.00,0.0527
2082.00,0.0529
2080.00,0.0532
2078.00,0.0534
2076.00,0.0538
2074.00,0.0541
2072.00,0.0544
2070.00,0.0546
2068.00,0.0550
2066.00,0.0552
2064.00,0.0554
2062.00,0.0555
2060.00,0.0557
2058.00,0.0558
2056.00,0.0560
2054.00,0.0561
2052.00,0.0562
2050.00,0.0562
2048.00,0.0563
2046.00,0.0563
2044.00,0.0564
2042.00,0.0565
2040.00,0.0565
2038.00,0.0565
2036.00,0.0566
2034.00,0.0566
2032.00,0.0566
2030.00,0.0565
2028.00,0.0563
2026.00,0.0561
2024.00,0.0558
2022.00,0.0556
2020.00,0.0555
2018.00,0.0554
2016.00,0.0553
2014.00,0.0554
2012.00,0.0556
2010.00,0.0559
2008.00,0.0560
2006.00,0.0561
2004.00,0.0562
2002.00,0.0563
2000.00,0.0567
1998.00,0.0573
1996.00,0.0584
1994.00,0.0600
1992.00,0.0621
1990.00,0.0644
1988.00,0.0669
1986.00,0.0688
1984.00,0.0698
1982.00,0.0701
1980.00,0.0704
1978.00,0.0709
1976.00,0.0722
1974.00,0.0750
1972.00,0.0795
1970.00,0.0860
1968.00,0.0942
1966.00,0.1032
1964.00,0.1122
1962.00,0.1206
1960.00,0.1277
1958.00,0.1337
1956.00,0.1388
1954.00,0.1441
1952.00,0.1505
1950.00,0.1588
1948.00,0.1685
1946.00,0.1779
1944.00,0.1847
1942.00,0.1858
1940.00,0.1799
1938.00,0.1678
1936.00,0.1518
1934.00,0.1349
1932.00,0.1197
1930.00,0.1074
1928.00,0.0981
1926.00,0.0912
1924.00,0.0859
1922.00,0.0811
1920.00,0.0771
1918.00,0.0738
1916.00,0.0710
1914.00,0.0691
1912.00,0.0680
1910.00,0.0676
1908.00,0.0677
1906.00,0.0684
1904.00,0.0700
1902.00,0.0724
1900.00,0.0758
1898.00,0.0803
1896.00,0.0861
1894.00,0.0929
1892.00,0.1003
1890.00,0.1082
1888.00,0.1158
1886.00,0.1225
1884.00,0.1280
1882.00,0.1325
1880.00,0.1364
1878.00,0.1401
1876.00,0.1439
1874.00,0.1476
1872.00,0.1505
1870.00,0.1517
1868.00,0.1498
1866.00,0.1446
1864.00,0.1363
1862.00,0.1258
1860.00,0.1144
1858.00,0.1036
1856.00,0.0945
1854.00,0.0874
1852.00,0.0821
1850.00,0.0783
1848.00,0.0754
1846.00,0.0733
1844.00,0.0720
1842.00,0.0710
1840.00,0.0707
1838.00,0.0708
1836.00,0.0716
1834.00,0.0728
1832.00,0.0745
1830.00,0.0775
1828.00,0.0817
1826.00,0.0866
1824.00,0.0920
1822.00,0.0975
1820.00,0.1034
1818.00,0.1095
1816.00,0.1156
1814.00,0.1219
1812.00,0.1287
1810.00,0.1360
1808.00,0.1434
1806.00,0.1500
1804.00,0.1550
1802.00,0.1567
1800.00,0.1540
1798.00,0.1476
1796.00,0.1378
1794.00,0.1265
1792.00,0.1144
1790.00,0.1042
1788.00,0.0976
1786.00,0.0936
1784.00,0.0914
1782.00,0.0914
1780.00,0.0933
1778.00,0.0958
1776.00,0.0976
1774.00,0.0982
1772.00,0.0982
1770.00,0.0990
1768.00,0.1002
1766.00,0.1017
1764.00,0.1046
1762.00,0.1092
