Time (s),Heat Flow (mJ/s)
278.80002,20.800092
279,20.791678
279.19998,20.784008
279.40002,20.777564
279.6,20.771783
279.79998,20.765898
280.00002,20.760861
280.2,20.755748
280.39998,20.750675
280.60002,20.746161
280.8,20.741642
280.99998,20.737272
281.20002,20.732867
281.4,20.72842
281.59998,20.724122
281.80002,20.720222
282,20.71628
282.19998,20.712578
282.40002,20.709309
282.6,20.707194
282.79998,20.704786
283.00002,20.702671
283.2,20.70034
283.39998,20.697806
283.60002,20.695817
283.8,20.694262
283.99998,20.692468
284.20002,20.691039
284.4,20.689592
284.59998,20.687942
284.80002,20.686152
285,20.684989
285.19998,20.684156
285.40002,20.683269
285.6,20.681894
285.79998,20.680461
286.00002,20.679176
286.2,20.67805
286.39998,20.676856
286.60002,20.67568
286.8,20.674517
286.99998,20.67345
287.20002,20.6724
287.4,20.671364
287.59998,20.670333
287.80002,20.669284
288,20.668284
288.19998,20.667397
288.40002,20.666402
288.6,20.665258
288.79998,20.664209
289.00002,20.66343
289.2,20.663031
289.39998,20.663204
289.60002,20.663311
289.8,20.663399
289.99998,20.663446
290.20002,20.663462
290.4,20.663388
290.59998,20.663346
290.80002,20.663326
291,20.663162
291.19998,20.662921
291.40002,20.662684
291.6,20.662539
291.79998,20.662442
292.00002,20.662332
292.2,20.662259
292.39998,20.662144
292.60002,20.661999
292.8,20.66189
292.99998,20.661793
293.20002,20.661666
293.4,20.661534
293.59998,20.661443
293.80002,20.661352
294,20.661256
294.19998,20.661201
294.40002,20.661146
294.6,20.661105
294.79998,20.661068
295.00002,20.661014
295.2,20.660959
295.39998,20.6609
295.60002,20.660863
295.8,20.660773
295.99998,20.660768
296.20002,20.660822
296.4,20.66084
296.59998,20.660853
296.80002,20.6608
297,20.660728
297.19998,20.660669
297.40002,20.660669
297.6,20.660814
297.79998,20.661031
298.00002,20.66128
298.2,20.66166
298.39998,20.66204
298.60002,20.66236
298.8,20.66256
298.99998,20.662723
299.20002,20.662918
299.4,20.663154
299.59998,20.663372
299.80002,20.663584
300,20.663784
300.19998,20.663894
300.40002,20.664053
300.6,20.664235
300.79998,20.664417
