Time (s),Heat Flow (J/s)
230.20002,14.683155
230.4,14.683995
230.59998,14.684834
230.80002,14.685698
231,14.686557
231.19998,14.68746
231.40002,14.688398
231.6,14.689356
231.79998,14.690334
232.00002,14.691355
232.2,14.692352
232.39998,14.69333
232.60002,14.694331
232.8,14.695289
232.99998,14.69629
233.20002,14.697287
233.4,14.698284
233.59998,14.699285
233.80002,14.700302
234,14.701319
234.19998,14.70236
234.40002,14.703436
234.6,14.704452
234.79998,14.705454
235.00002,14.706431
235.2,14.707408
235.39998,14.708409
235.60002,14.709367
235.8,14.710344
235.99998,14.711306
236.20002,14.712303
236.4,14.7133
236.59998,14.714261
236.80002,14.715258
237,14.716275
237.19998,14.717315
237.40002,14.718371
237.6,14.719388
237.79998,14.720428
238.00002,14.721464
238.2,14.722481
238.39998,14.723517
238.60002,14.724537
238.8,14.725573
238.99998,14.726614
239.20002,14.727689
239.4,14.728745
239.59998,14.729765
239.80002,14.730821
240,14.731916
240.19998,14.733035
240.40002,14.73413
240.6,14.735245
240.79998,14.736384
241.00002,14.737498
241.2,14.738653
241.39998,14.73985
241.60002,14.741044
241.8,14.742218
241.99998,14.743356
242.20002,14.744451
242.4,14.745526
242.59998,14.746562
242.80002,14.747681
243,14.748874
243.19998,14.75019
243.40002,14.751541
243.6,14.752872
243.79998,14.754168
244.00002,14.755499
244.2,14.75683
244.39998,14.758185
244.60002,14.759575
244.8,14.760867
244.99998,14.762178
245.20002,14.763494
245.4,14.764825
245.59998,14.76618
245.80002,14.767452
246,14.768664
246.19998,14.76996
246.40002,14.771252
246.6,14.772504
246.79998,14.77378
247.00002,14.775111
247.2,14.776363
247.39998,14.77756
247.60002,14.778595
247.8,14.779611
247.99998,14.780626
248.20002,14.781744
248.4,14.782918
248.59998,14.784095
248.80002,14.78515
249,14.786185
249.19998,14.787205
249.40002,14.78824
249.6,14.789196
249.79998,14.790157
250.00002,14.791133
250.2,14.792246
250.39998,14.793896
250.60002,14.795857
250.8,14.797739
250.99998,14.799404
251.20002,14.801113
251.4,14.802798
251.59998,14.804384
251.80002,14.806073
252,14.807935
252.19998,14.809719
252.40002,14.811506
252.6,14.81321
252.79998,14.814836
253.00002,14.816486
253.2,14.818151
253.39998,14.819835
253.60002,14.821504
253.8,14.82313
253.99998,14.824755
254.20002,14.826346
254.4,14.827951
254.59998,14.829537
254.80002,14.831108
255,14.832674
255.19998,14.8342
255.40002,14.835732
255.6,14.837258
255.79998,14.838844
256.00002,14.840493
256.2,14.842099
256.39998,14.843728
256.60002,14.845353
256.8,14.846978
256.99998,14.848608
257.20002,14.850252
257.4,14.851877
257.59998,14.853463
257.80002,14.855073
258,14.856717
258.19998,14.858386
258.40002,14.86003
258.6,14.861694
258.79998,14.863363
259.00002,14.865047
259.2,14.866691
259.39998,14.868379
259.60002,14.870142
259.8,14.871943
259.99998,14.87375
260.20002,14.875512
260.4,14.877136
260.59998,14.878721
260.80002,14.880311
261,14.881857
261.19998,14.883442
261.40002,14.885071
261.6,14.886636
261.79998,14.888186
262.00002,14.889633
262.2,14.89108
262.39998,14.892453
262.60002,14.893763
262.8,14.895209
262.99998,14.89674
263.20002,14.898285
263.4,14.899791
263.59998,14.901297
263.80002,14.902808
264,14.904373
264.19998,14.905937
264.40002,14.907566
264.6,14.90917
264.79998,14.910853
265.00002,14.912502
265.2,14.914125
265.39998,14.915749
265.60002,14.917319
265.8,14.918864
265.99998,14.920408
266.20002,14.921939
266.4,14.923503
266.59998,14.925009
266.80002,14.926539
267,14.928024
267.19998,14.929569
267.40002,14.931158
267.6,14.932723
267.79998,14.934228
268.00002,14.935679
268.2,14.937086
268.39998,14.938459
268.60002,14.939826
268.8,14.941252
268.99998,14.942659
269.20002,14.944071
269.4,14.945458
269.59998,14.946845
269.80002,14.948276
270,14.949644
270.19998,14.950971
270.40002,14.952285
270.6,14.953593
270.79998,14.954822
271.00002,14.956057
271.2,14.957306
271.39998,14.95858
271.60002,14.959809
271.8,14.961078
271.99998,14.96243
272.20002,14.963778
272.4,14.965145
272.59998,14.966374
272.80002,14.96751
273,14.968621
273.19998,14.969757
273.40002,14.970888
273.6,14.971999
273.79998,14.973076
274.00002,14.974088
274.2,14.975121
274.39998,14.976158
274.60002,14.97719
274.8,14.978223
274.99998,14.979294
275.20002,14.980391
275.4,14.981521
275.59998,14.982618
275.80002,14.98367
276,14.984721
276.19998,14.9857
276.40002,14.986653
276.6,14.987626
276.79998,14.98858
277.00002,14.989519
277.2,14.990433
277.39998,14.991366
277.60002,14.992305
277.8,14.993278
277.99998,14.994212
278.20002,14.99517
278.4,14.996084
278.59998,14.996998
278.80002,14.997878
279,14.998733
279.19998,14.999573
279.40002,15.000409
279.6,15.001185
279.79998,15.00198
280.00002,15.002742
280.2,15.003558
280.39998,15.004378
280.60002,15.005233
280.8,15.006049
280.99998,15.006771
281.20002,15.007449
281.4,15.008107
281.59998,15.008745
281.80002,15.009349
282,15.009968
282.19998,15.010553
282.40002,15.011132
282.6,15.011672
282.79998,15.012192
283.00002,15.012777
283.2,15.013336
283.39998,15.013856
283.60002,15.014343
283.8,15.014824
283.99998,15.01529
284.20002,15.015732
284.4,15.016193
284.59998,15.016615
284.80002,15.017062
285,15.017542
285.19998,15.017944
285.40002,15.018352
285.6,15.018695
285.79998,15.019024
286.00002,15.019328
286.2,15.019612
286.39998,15.019902
286.60002,15.020205
286.8,15.02047
286.99998,15.02074
287.20002,15.020965
287.4,15.02117
287.59998,15.021342
287.80002,15.021528
288,15.021733
288.19998,15.021963
288.40002,15.022189
288.6,15.022414
288.79998,15.022664
289.00002,15.022909
289.2,15.023173
289.39998,15.023418
289.60002,15.023688
289.8,15.023932
289.99998,15.024183
290.20002,15.024427
290.4,15.024672
290.59998,15.024883
290.80002,15.025069
291,15.025235
291.19998,15.025406
291.40002,15.025572
