Time (s),Heat Flow (J/s)
238.2,20.444124
238.39998,20.444138
238.60002,20.444152
238.8,20.4442
238.99998,20.444268
239.20002,20.4443
239.4,20.44433
239.59998,20.444362
239.80002,20.444411
240,20.444479
240.19998,20.444565
240.40002,20.444688
240.6,20.444808
240.79998,20.444931
241.00002,20.445033
241.2,20.445138
241.39998,20.445225
241.60002,20.445363
241.8,20.445468
241.99998,20.445627
242.20002,20.44575
242.4,20.445889
242.59998,20.446012
242.80002,20.446153
243,20.446274
243.19998,20.446397
243.40002,20.446536
243.6,20.446678
243.79998,20.446837
244.00002,20.446997
244.2,20.447154
244.39998,20.447313
244.60002,20.447491
244.8,20.44763
244.99998,20.44779
245.20002,20.447968
245.4,20.448162
245.59998,20.448376
245.80002,20.448608
246,20.448909
246.19998,20.449141
246.40002,20.44941
246.6,20.449604
246.79998,20.449746
247.00002,20.44985
247.2,20.449938
247.39998,20.450062
247.60002,20.450205
247.8,20.450489
247.99998,20.45074
248.20002,20.45097
248.4,20.451311
248.59998,20.45167
248.80002,20.452047
249,20.452475
249.19998,20.452942
249.40002,20.45341
249.6,20.454
249.79998,20.455026
250.00002,20.45625
250.2,20.457976
250.39998,20.459939
250.60002,20.461776
250.8,20.461736
250.99998,20.472563
251.20002,20.481354
251.4,20.492989
251.59998,20.516715
251.80002,20.553845
252,20.647796
252.19998,20.819075
252.40002,21.079159
252.6,21.424478
252.79998,21.837945
253.00002,22.305103
253.2,22.8111
253.39998,23.342257
253.60002,23.894791
253.8,24.460515
253.99998,25.038328
254.20002,25.628556
254.4,26.220442
254.59998,26.819329
254.80002,27.42284
255,28.028511
255.19998,28.636204
255.40002,29.244453
255.6,29.853176
255.79998,30.462757
256.00002,31.072297
256.2,31.681539
256.39998,32.290701
256.60002,32.900848
256.8,33.503923
256.99998,34.101622
257.20002,34.699456
257.4,35.297248
257.59998,35.893592
257.80002,36.486217
258,37.081441
258.19998,37.676052
258.40002,38.262376
258.6,38.84389
258.79998,39.418656
259.00002,39.982134
259.2,40.52204
259.39998,41.03526
259.60002,41.48253
259.8,41.714058
259.99998,41.537048
260.20002,41.013975
260.4,40.272994
260.59998,39.41829
260.80002,38.518785
261,37.603414
261.19998,36.700308
261.40002,35.815083
261.6,34.95776
261.79998,34.144268
262.00002,33.366992
262.2,32.629119
262.39998,31.933896
262.60002,31.279522
262.8,30.651649
262.99998,30.068573
263.20002,29.516578
263.4,28.996156
263.59998,28.503352
263.80002,28.043814
264,27.614176
264.19998,27.206156
264.40002,26.821489
264.6,26.459803
264.79998,26.119448
265.00002,25.801348
265.2,25.503926
265.39998,25.216873
265.60002,24.953737
265.8,24.699996
265.99998,24.463385
266.20002,24.241173
266.4,24.030342
266.59998,23.832423
266.80002,23.644794
267,23.467952
267.19998,23.30633
267.40002,23.150618
267.6,23.005876
267.79998,22.867646
268.00002,22.731516
268.2,22.618214
268.39998,22.500709
268.60002,22.387079
268.8,22.286656
268.99998,22.187426
269.20002,22.0898
269.4,22.001649
269.59998,21.92268
269.80002,21.844534
270,21.773801
270.19998,21.705898
270.40002,21.642682
270.6,21.582886
270.79998,21.522227
271.00002,21.469033
271.2,21.415346
271.39998,21.360454
271.60002,21.315209
271.8,21.267073
271.99998,21.22572
272.20002,21.192283
272.4,21.155704
272.59998,21.119452
272.80002,21.085346
273,21.051686
273.19998,21.021925
273.40002,20.993786
273.6,20.968564
273.79998,20.943435
274.00002,20.917008
274.2,20.893462
274.39998,20.873057
274.60002,20.852003
274.8,20.831431
274.99998,20.813369
275.20002,20.794677
275.4,20.776538
275.59998,20.760514
275.80002,20.747484
276,20.735333
276.19998,20.722861
276.40002,20.709721
276.6,20.697425
276.79998,20.686071
277.00002,20.675149
277.2,20.664765
277.39998,20.654041
277.60002,20.643786
277.8,20.634898
277.99998,20.626393
278.20002,20.618482
278.4,20.611127
278.59998,20.604227
278.80002,20.597705
279,20.591288
279.19998,20.585722
279.40002,20.579687
279.6,20.573721
279.79998,20.567794
280.00002,20.562516
280.2,20.557596
280.39998,20.552896
280.60002,20.548105
280.8,20.543672
280.99998,20.539296
281.20002,20.535461
281.4,20.5322
281.59998,20.528763
281.80002,20.525577
282,20.522533
282.19998,20.519366
282.40002,20.516487
282.6,20.513695
282.79998,20.511124
283.00002,20.508534
283.2,20.506265
283.39998,20.50409
283.60002,20.502204
283.8,20.500476
283.99998,20.498681
284.20002,20.496957
284.4,20.49541
284.59998,20.493632
284.80002,20.491999
285,20.490325
285.19998,20.488908
285.40002,20.487654
285.6,20.486486
285.79998,20.485286
286.00002,20.484158
286.2,20.483152
286.39998,20.482295
286.60002,20.481492
286.8,20.480631
286.99998,20.479846
287.20002,20.479043
287.4,20.478326
287.59998,20.477686
287.80002,20.477063
288,20.476455
288.19998,20.475905
288.40002,20.475427
288.6,20.474909
288.79998,20.474377
289.00002,20.473917
289.2,20.473399
289.39998,20.472777
289.60002,20.472191
289.8,20.471619
289.99998,20.471124
290.20002,20.470628
290.4,20.470165
290.59998,20.469723
290.80002,20.469264
291,20.468765
291.19998,20.468251
291.40002,20.46772
291.6,20.467184
291.79998,20.466653
292.00002,20.466067
292.2,20.465442
292.39998,20.464838
292.60002,20.464451
292.8,20.464295
292.99998,20.464179
293.20002,20.463955
293.4,20.463637
293.59998,20.4639
293.80002,20.464254
294,20.464549
294.19998,20.464777
294.40002,20.464878
294.6,20.464795
294.79998,20.464661
295.00002,20.46469
295.2,20.464823
295.39998,20.464835
295.60002,20.464882
295.8,20.464781
295.99998,20.464629
296.20002,20.464532
296.4,20.464363
296.59998,20.464298
296.80002,20.464292
297,20.464267
297.19998,20.464297
297.40002,20.464304
297.6,20.46428
297.79998,20.464219
298.00002,20.464249
298.2,20.46422
298.39998,20.464214
298.60002,20.464208
298.8,20.464306
298.99998,20.464391
299.20002,20.464511
299.4,20.464627
299.59998,20.464694
299.80002,20.464796
